date,weekday,employees,vacation,business_trip,overtime,work_from_home,조식메뉴,menu,석식메뉴,actual_diners,dinner_diners,available_population,participation_rate,temp_mean,temp_max,temp_min,precipitation,humidity,rain,included
2016-03-02,수,2624.0,127.0,182.0,261.0,0.0,"모닝롤/단팥빵  우유/두유/주스 계란후라이  참치야채죽/쌀밥 (쌀:국내산) 올갱이아욱국  오이무침  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 쇠고기미역국  주꾸미볶음  맛살계란말이  아삭고추무침  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  버섯불고기  콩나물겨자채  양념깻잎지  포기김치 (배추,고추가루:국내산) ",1127.0,631.0,2315.0,0.4868250539956803,-1.0499999999999998,6.3,-7.6,,42.25,,True
2016-03-03,목,2624.0,61.0,224.0,351.0,0.0,"모닝롤/바나나샌드  우유/두유/주스 계란후라이  팥죽/쌀밥 (쌀:국내산) 피바지락국  가지볶음  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 근대된장국  탕수육  새송이버섯조림  무생채  요구르트  포기김치 (배추,고추가루:국내산) ","멸치주먹밥 (쌀,현미흑미:국내산) 우동  떡볶이  군고구마  단무지  포기김치 (배추,고추가루:국내산) ",1000.0,473.0,2339.0,0.4275331338178709,2.7916666666666665,11.3,-6.6,,50.583333333333336,,True
2016-03-04,금,2624.0,83.0,247.0,79.0,0.0,"모닝롤/사과파이  우유/두유/주스 계란후라이  야채죽/쌀밥 (쌀:국내산) 시금치국  볼어묵볶음  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 부대찌개  가자미튀김  메추리알조림  열무된장나물  깍두기 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어국  미트볼조림  옥수수전  부추생채  포기김치 (배추,고추가루:국내산) ",837.0,673.0,2294.0,0.36486486486486486,6.345833333333334,15.6,-3.3,,60.79166666666666,,True
2016-03-07,월,2624.0,50.0,195.0,456.0,0.0,모닝롤/브라우니  우유/두유/주스  계란후라이  땅콩죽/쌀밥 (쌀:국내산) 무채국  쑥갓무침 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 콩나물국  닭갈비 (닭고기:국내산) 모둠묵*양념장  톳두부무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 대구찌개 돈육굴소스볶음  감자채볶음  물파래무침   포기김치 (김치:국내산) ",1326.0,625.0,2379.0,0.5573770491803278,14.295833333333334,19.2,9.2,,81.29166666666667,1.0,True
2016-03-08,화,2624.0,47.0,212.0,426.0,0.0,모닝롤/고구마샌드  우유/두유/주스  계란후라이  새송이죽/쌀밥 (쌀:국내산) 호박젓국찌개  유채나물 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 차돌박이찌개 (쇠고기:호주산) 고등어김치말이  소세지구이  풋마늘초무침  깍두기 (김치:국내산)   ","카레덮밥 (쌀,현미흑미:국내산) 가쯔오장국 수제고로케*케찹  과일샐러드  오복지   포기김치 (김치:국내산) ",1026.0,609.0,2365.0,0.4338266384778013,10.954166666666666,16.9,7.1,,68.83333333333333,,True
2016-03-09,수,2624.0,43.0,225.0,0.0,0.0,모닝롤/롤케익  우유/두유/주스  계란후라이  단호박죽/쌀밥 (쌀:국내산) 어묵국  김자반 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 북어국  돈육장조림 (돼지고기:국내산) 홍어무침  시금치나물  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장 생선까스*탈탈소스  야채계란찜  콩나물무침   포기김치 (김치:국내산) ",901.0,523.0,2356.0,0.382427843803056,8.354166666666666,11.0,4.2,,63.91666666666666,1.0,True
2016-03-10,목,2624.0,55.0,245.0,290.0,0.0,모닝롤/햄치즈샌드  우유/두유/주스  계란후라이  녹두죽/쌀밥 (쌀:국내산) 냉이된장국  명엽채무침 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 고추장찌개  닭데리야끼조림  해물파전  취나물  포기김치 (김치:국내산)   ","볶음밥 (쌀,현미흑미:국내산) 짬뽕 개성감자만두  타코야끼  꼬들단무지   포기김치 (김치:국내산) ",847.0,525.0,2324.0,0.3644578313253012,5.445833333333333,12.3,1.3,,57.5,1.0,True
2016-03-11,금,2624.0,108.0,275.0,76.0,0.0,모닝롤/찐빵  우유/두유/주스  계란후라이  고구마죽/쌀밥 (쌀:국내산) 재첩국  검정콩조림 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 배추된장국  수제돈가스 (돼지고기:국내산) 탕평채  쫄면무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 연두부탕 코다리무조림  고추잡채*꽃빵  봄동겉절이   포기김치 (김치:국내산) ",728.0,591.0,2241.0,0.3248549754573851,3.329166666666667,8.0,-0.9,,35.0,,True
2016-03-14,월,2624.0,61.0,183.0,376.0,0.0,모닝롤/롤케이크  우유/주스  계란후라이  흑임자죽/쌀밥 (쌀:국내산) 황태국  미역줄기볶음 포기김치 (고춧가루:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 어묵국  돈육고추장볶음 (돼지고기:국내산) 모둠양채쌈*쌈장  콩나물파채무침   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 달래된장찌개  간장찜닭 (닭고기:국내산) 통도라지구이 참나물생채   포기김치 (김치:국내산) ,1286.0,586.0,2380.0,0.5403361344537815,4.754166666666666,8.7,1.1,,50.083333333333336,,True
2016-03-15,화,2624.0,38.0,231.0,399.0,0.0,모닝롤/에그샌드  우유/주스  계란후라이  해물죽/쌀밥 (쌀:국내산) 쇠고기무국  브로컬리들깨찜 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 쑥국  소불고기 (쇠고기:호주산) 골뱅이무침*소면  마늘쫑볶음   포기김치 (김치:국내산)  ,"짜장잡채덮밥 (돈육,쌀:국내산) 계란파국  참치야채전  꽃맛살샐러드 오이무침   포기김치 (김치:국내산) ",958.0,545.0,2355.0,0.40679405520169853,5.4125000000000005,12.7,-1.4,,51.875,,True
2016-03-16,수,2624.0,50.0,213.0,0.0,0.0,모닝롤/치즈프레즐  우유/주스  계란후라이  홍게살죽/쌀밥 (쌀:국내산) 시래기국  느타리호박볶음 포기김치 (김치:국내산) ,곤드레밥 (쌀:국내산) 콩나물김치국  미니채소떡갈비 (쇠고기:호주산.돈육:국내산) 두부계란부침  무나물   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 뼈해장국 (돼지고기:국내산) 해물청경채볶음  버섯메밀전 야채스틱*쌈장   포기김치 (김치:국내산) ,998.0,531.0,2361.0,0.4227022448115205,5.3375,14.1,-3.2,,49.958333333333336,,True
2016-03-17,목,2624.0,52.0,242.0,327.0,0.0,모닝롤/베이컨샌드  우유/주스  계란후라이  브로컬리죽/쌀밥 (쌀:국내산) 오징어국  숙주나물 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 사골우거지국 (쇠고기:호주산) 탕수어  파래김*양념장  깻순나물   깍두기 (김치:국내산)  ,토마토스파게티 (쌀:국내산) 양송이스프  미니햄버거 (돼지고기:국내산) 단호박범벅 무피클/음료   포기김치 (김치:국내산) ,832.0,548.0,2330.0,0.35708154506437767,8.608333333333334,16.3,2.8,,51.125,,True
2016-03-18,금,2624.0,118.0,277.0,57.0,0.0,모닝롤/크로와상  우유/주스  계란후라이  표고버섯죽/쌀밥 (쌀:국내산) 들깨미역국  방풍나물 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 시금치국  훈제오리구이  연근땅콩조림  쌈무/부추생채   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 닭곰탕 (닭고기:국내산) 임연수찜  어묵곤약볶음 돌나물초장   석박지 (김치:국내산) ,757.0,521.0,2229.0,0.3396141767608793,8.7875,17.9,-1.0,,56.04166666666666,,True
2016-03-21,월,2624.0,65.0,205.0,329.0,0.0,모닝롤/마늘빵  우유/주스  계란후라이  김치죽/쌀밥 (쌀:국내산) 무채국  김실파무침 포기김치 (고춧가루:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  버섯불고기 (쇠고기:호주산) 계란말이  도토리묵무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 수제비국  아귀콩나물찜  새송이버섯볶음  봄동겉절이  포기김치 (김치:국내산) ,1030.0,605.0,2354.0,0.43755310110450296,9.425,13.3,6.4,,69.375,,True
2016-03-22,화,2624.0,41.0,208.0,378.0,0.0,모닝롤/씨크립샌드  우유/주스  계란후라이  참치야채죽/쌀밥 (쌀:국내산) 선지해장국 (쇠고기:호주산) 브로컬리초장 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 쇠고기샤브국 (쇠고기:호주산) 코다리강정  두부&김치볶음  유채나물  깍두기 (김치:국내산)  ,굴소스파인볶음밥 (쌀:국내산) 가쯔오장국  찹쌀순대볶음  궁중떡찜  두반장가지나물  포기김치 (김치:국내산) ,917.0,585.0,2375.0,0.38610526315789473,9.633333333333333,16.0,3.6,,61.458333333333336,,True
2016-03-23,수,2624.0,42.0,236.0,0.0,0.0,모닝롤/카스텔라  우유/주스  계란후라이  새송이버섯죽/쌀밥 (쌀:국내산) 근대국  쑥갓두부무침 포기김치 (김치:국내산) , 콩나물밥*달래장 (쌀:국내산) 맑은국  치킨텐더*요거트D (닭고기:국내산) 땅콩조림  실곤약초무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 알탕  동그랑땡전  마파두부 (돼지고기:국내산) 시금치나물  포기김치 (김치:국내산) ,963.0,544.0,2346.0,0.41048593350383633,9.45,18.0,2.8,,63.91666666666666,,True
2016-03-24,목,2624.0,53.0,251.0,293.0,0.0,모닝롤/토마토샌드  우유/주스  계란후라이  밤죽/쌀밥 (쌀:국내산) 순두부국  크랜베리멸치볶음 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 북어계란국  쇠고기장조림 (쇠고기:호주산) 오징어초무침  시래기나물  포기김치 (김치:국내산)  ,참치회덮밥 (쌀:국내산) 미소장국  군만두  콘샐러드  바나나  포기김치 (김치:국내산) ,876.0,507.0,2320.0,0.3775862068965517,10.258333333333333,16.6,3.7,,55.875,,True
2016-03-25,금,2624.0,98.0,275.0,59.0,0.0,모닝롤/와플  우유/주스  계란후라이  견과류죽/쌀밥 (쌀:국내산) 콩나물국  진미채무침 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 닭개장 (닭고기:국내산) 자반고등어구이 (고등어:국내산) 비엔나볶음  열무나물  배추겉절이 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 냉이된장찌개  누룽지탕수육 (돼지고기:국내산) 감자채볶음  청경채무침  포기김치 (김치:국내산) ,861.0,523.0,2251.0,0.38249666814749,8.595833333333333,12.4,5.9,,42.625,,True
2016-03-28,월,2624.0,77.0,197.0,299.0,0.0,모닝롤/프렌치토스트  우유/주스  계란후라이  새우살죽/쌀밥 (쌀:국내산) 두부김치국  미역레몬초무침 포기김치 (고춧가루:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 얼갈이된장국  닭갈비  해파리냉채  취나물  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  유산슬  해물까스*탈탈소스  도라지나물  포기김치 (김치:국내산) ,1193.0,637.0,2350.0,0.5076595744680851,7.504166666666667,14.3,-0.2,,53.5,,True
2016-03-29,화,2624.0,52.0,245.0,259.0,0.0,모닝롤/참치샌드  우유/주스  계란후라이  야채죽/쌀밥 (쌀:국내산) 쇠고기버섯국  오이무침 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  주꾸미볶음  새송이버섯전  치커리유자청생채  포기김치 (김치:국내산)  ,햄볶음밥 (쌀:국내산) 유부장국  돈육씨앗강정  해초무침  깨찰빵  포기김치 (김치:국내산) ,892.0,465.0,2327.0,0.38332617103566824,8.2875,17.2,-1.3,,49.91666666666666,,True
2016-03-30,수,2624.0,48.0,230.0,0.0,0.0,모닝롤/핫도그  우유/주스  계란후라이  닭죽/쌀밥 (쌀:국내산) 감자국  참나물무침 포기김치 (김치:국내산) , 봄새싹비빔밥 (쌀:국내산) 쪽파국  오징어튀김  알감자버터구이  오렌지  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 어묵국  등갈비김치찜  청포묵무침  애호박나물  깍두기 (김치:국내산) ,1033.0,463.0,2346.0,0.4403239556692242,9.904166666666669,15.7,1.8,,61.125,,True
2016-03-31,목,2624.0,36.0,248.0,158.0,0.0,모닝롤/단팥빵  우유/주스  계란후라이  늙은호박죽/쌀밥 (쌀:국내산) 바지락쑥국  마늘쫑무침 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 매운콩나물국  돈육굴소스볶음  동태전  봄동나물  포기김치 (김치:국내산)  ,주먹밥 (쌀:국내산) 잔치국수  또띠아피자  과일샐러드  오이피클  포기김치 (김치:국내산) ,781.0,526.0,2340.0,0.33376068376068374,14.237500000000002,21.3,7.4,,52.5,,True
2016-04-01,금,2643.0,103.0,254.0,47.0,0.0,모닝롤/야채샌드  우유/주스  계란후라이  녹두죽/쌀밥 (쌀:국내산) 민물새우찌개  구이김 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 버섯들깨탕  갈치조림  우엉잡채  아삭고추무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기미역국  순살깐풍기  계란찜  숙주미나리나물  포기김치 (김치:국내산) ,661.0,591.0,2286.0,0.2891513560804899,12.016666666666667,20.5,4.8,,62.54166666666666,,True
2016-04-04,월,2643.0,62.0,221.0,367.0,0.0,"모닝롤/팬케익  우유/두유/주스 계란후라이  잣죽/쌀밥 (쌀:국내산) 근대국  마늘쫑무침  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 순두부찌개  쇠불고기  브로컬리맛살볶음  풋마늘초무침  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  고등어조림  고기전  부추생채  포기김치 (김치:국내산) ",1237.0,614.0,2360.0,0.5241525423728813,12.304166666666667,13.4,10.9,,86.08333333333333,1.0,True
2016-04-05,화,2643.0,31.0,242.0,370.0,0.0,"모닝롤/단호박샌드  우유/두유/주스 계란후라이  양송이죽/쌀밥 (쌀:국내산) 두부젓국찌개  미역줄기볶음  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 북어국  오징어볶음*소면  모둠소시지구이  시금치나물  포기김치 (배추,고추가루:국내산)   ","김치볶음밥 (쌀,현미흑미:국내산) 가쯔오장국  감자치즈구이  꽃맛살샐러드  단무지  깍두기 (배추,고추가루:국내산) ",840.0,555.0,2370.0,0.35443037974683544,11.170833333333334,13.5,9.8,,82.83333333333333,1.0,True
2016-04-06,수,2643.0,37.0,249.0,0.0,0.0,"모닝롤/치즈프레즐  우유/두유/주스 계란후라이  팥죽/쌀밥 (쌀:국내산) 꽃게탕  방풍나물  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 올갱이아욱국  제육볶음  두부조림  모둠쌈*쌈장  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 매운버섯국  찜닭  탕평채  청경채생채  포기김치 (배추,고추가루:국내산) ",876.0,492.0,2357.0,0.37165888841747985,12.6625,19.2,7.4,,65.33333333333333,,True
